type,subtype,bedroomCount,bathroomCount,province,postCode,habitableSurface,buildingCondition,facedeCount,hasTerrace,epcScore,price,price_per_m2
APARTMENT,APARTMENT,2.0,1.0,Brussels,1030,96.0,JUST_RENOVATED,2.0,1,C,437500.0,4557.29
APARTMENT,APARTMENT,2.0,1.0,Brussels,1030,96.0,JUST_RENOVATED,2.0,1,C,437500.0,4557.29
APARTMENT,APARTMENT,2.0,2.0,Brussels,1030,140.0,JUST_RENOVATED,2.0,1,C,545000.0,3892.86
APARTMENT,APARTMENT,4.0,1.0,Brussels,1030,150.0,TO_RENOVATE,2.0,0,G,239000.0,1593.33
APARTMENT,GROUND_FLOOR,2.0,2.0,Brussels,1030,125.0,TO_BE_DONE_UP,2.0,1,D,225000.0,1800.0
APARTMENT,APARTMENT,1.0,1.0,Brussels,1030,82.0,GOOD,2.0,1,G,240000.0,2926.83
APARTMENT,APARTMENT,1.0,1.0,Brussels,1030,74.0,GOOD,2.0,0,C,245000.0,3310.81
APARTMENT,APARTMENT,1.0,1.0,Brussels,1030,72.0,TO_BE_DONE_UP,2.0,0,F,179000.0,2486.11
APARTMENT,APARTMENT,1.0,1.0,Brussels,1030,96.0,GOOD,2.0,0,E,350000.0,3645.83
APARTMENT,APARTMENT,2.0,1.0,Brussels,1030,78.0,GOOD,2.0,1,A,349000.0,4474.36
APARTMENT,APARTMENT,1.0,1.0,Brussels,1030,80.0,TO_BE_DONE_UP,2.0,0,F,180000.0,2250.0
APARTMENT,APARTMENT,1.0,1.0,Brussels,1030,80.0,TO_RENOVATE,2.0,1,G,190000.0,2375.0
APARTMENT,APARTMENT,2.0,1.0,Brussels,1030,80.0,GOOD,2.0,0,D,293000.0,3662.5
APARTMENT,APARTMENT,1.0,1.0,Brussels,1030,73.0,AS_NEW,2.0,0,B,322000.0,4410.96
APARTMENT,PENTHOUSE,2.0,1.0,Brussels,1030,85.0,JUST_RENOVATED,2.0,1,C,449000.0,5282.35
APARTMENT,APARTMENT,2.0,2.0,Brussels,1030,85.0,AS_NEW,4.0,0,F,290000.0,3411.76
APARTMENT,PENTHOUSE,2.0,1.0,Brussels,1030,91.0,GOOD,2.0,1,G,249000.0,2736.26
APARTMENT,DUPLEX,2.0,0.0,Brussels,1030,131.0,GOOD,2.0,1,C,389000.0,2969.47
APARTMENT,APARTMENT,1.0,0.0,Brussels,1030,60.0,TO_BE_DONE_UP,2.0,0,E,165000.0,2750.0
APARTMENT,APARTMENT,2.0,1.0,Brussels,1030,78.0,AS_NEW,2.0,1,B,349000.0,4474.36
APARTMENT,APARTMENT,2.0,1.0,Brussels,1030,78.0,AS_NEW,2.0,1,B,359000.0,4602.56
APARTMENT,APARTMENT,1.0,1.0,Brussels,1030,57.0,TO_BE_DONE_UP,2.0,1,F,169000.0,2964.91
APARTMENT,APARTMENT,2.0,1.0,Brussels,1030,115.0,GOOD,2.0,1,E,365000.0,3173.91
APARTMENT,APARTMENT,2.0,1.0,Brussels,1030,87.0,GOOD,2.0,1,C,285000.0,3275.86
